"practice_id","doctor_id","practice"
5297,5302,"ALPINE ANIMAL HOSPITAL"
30,30,"2461 SUMMERFIELD RD"
4373,4373,"24 HEMMING LANE"
8548,5766,"SF SPCA VET"
5258,5258,"2500 ALLEN RD"
1428,3553,"CASTRO VALLEY COMPANION ANIMAL HOSPITAL"
4496,4496,"250 BON AIR ROAD"
1973,4282,"VET SURG ASSOC."
5993,6545,"ALLCARE VET HOSPITAL"
9462,9709,"BANFIELD PET HOSPITAL ALISO VIEJO #0102"
2160,10077,"ALL PET'S HOSPITAL"
6629,6629,"2720 LOW CT"
1650,1650,"27 WEST 17TH AVENUE"
9907,9907,"2955 VAN BUREN BLVD"
9123,9504,"ANIMAL DERMATOLOGY CLINIC"
3364,3364,"2970 HILLTOP MALL ROAD STE 212"
1878,1878,"2 BON AIR ROAD, SUITE 100"
313,313,"2 BON AIR SUITE 130"
3065,3065,"3059 #B HOPYARD"
5630,9845,"GRAND LAKE VET HOSPITAL"
46,46,"333 MARION AVE"
4016,4016,"3351 EL CAMINO REAL SUITE 101"
6832,6841,"CHINO HILLS SMALL ANIMAL HOSPITAL"
2539,1110,"WASHINGTON SQUARE VET CLINIC"
9153,9153,"3443 Villa Lane"
6065,9894,"BANFIELD PET HOSPITAL SAN MATEO"
436,436,"372 BEL MARIN KEYS BLVD"
3696,3696,"3801 LONETREE WAY"
4484,9533,"DOUGLAS BLVD VET CLINIC"
9275,13944,"BIRDS AND PET CLINIC"
9558,9558,"39885 ALTA MURRIETA DR"
3530,3530,"4000 CIVIC CENTER DRIVE"
2166,2166,"400 PARNASSUS AVENUE"
2315,2315,"400 PROFESSIONAL CENTER"
4322,4618,"ANIMAL CLINIC OF BENICIA"
1251,2289,"CENTRAL MARIN CAT AND EXOTIC"
1327,1327,"4165 BLACKHAWK PLAZA CIRCLE"
1796,1796,"43391 ELLSWORTH STREET"
1796,4352,"43391 ELLSWORTH STREET"
5773,5773,"4411 TREAT BLVD."
3590,3590,"445 S CEDAR"
9921,9921,"449 N 1ST ST"
2460,2460,"45 CASTRO ST #225"
1685,4201,"BROADWAY PET HOSPITAL"
15130,15130,"4 LEGGED FRIENDS"
13220,13220,"4 PAWS MOBILE VET SERVICES"
12765,12765,"503 LONG STORY RD"
9949,9949,"5099 COMMERCIAL CIRCLE"
5493,5493,"50 MATHER ROAD"
2151,2151,"5232 JACKSON DR #105"
473,473,"524 MILLER AVE."
15396,15396,"5280 VETERINARY CARE"
1789,5741,"ARGUELLO PET HOSPITAL"
1507,1507,"5440 THORNWOOD DR."
4940,4940,"5591 W SHAW AVE"
5851,5851,"565 WEST AVE I"
293,293,"591 REDWOOD HWY #2210"
11062,11062,"5 DIRECTION INTEGRATIVE VET CARE"
14649,14649,"5 ELEMENT VET HOME HOUSECALLS"
1549,7564,"SAN FRANCISCO VET SPECIALISTS"
1549,5743,"SAN FRANCISCO VET SPECIALISTS"
10034,10034,"6100 REDWOOD BLVD"
8339,10065,"COASTSIDE VET CLINIC"
8445,1083,"WHIPPLE AVE PET HOSPITAL"
11182,11182,"6405 DEL AMO BLVD"
13782,13782,"6468 COLTON BLVD"
2273,4884,"VCA ANIMAL CARE CENTER *ALWAYS CONTACT VET FIRST IF OWNER REQUESTS DIFF FORM THAN WHAT SHE CALLED IN"
5288,12364,"655 REDWOOD HWY"
5288,5288,"655 REDWOOD HWY"
1258,1258,"6620 REDWOOD DRIVE"
9026,12310,"FRIENDLY ANIMAL HOSPITAL"
8573,8573,"6960 DESTINY DR"
224,224,"711 D ST."
5936,5847,"OCEANA PET HOSPITAL"
4202,4202,"718 EL CAMINO REAL"
4870,4870,"7197 HIGHWAY 98"
4553,4553,"7197 W HIGHWAY98 PENSACOLA,FL 32506"
229,229,"750 LAS GALINAS/TERRA LINDA"
13744,13744,"751 ORO DAM BLVD E"
8749,8749,"75 SPRINGVIEW LANE"
10668,10668,"760 E, THOUSAND OAKS BLVD"
1410,1410,"775 E. BLITHEDALE AVE #525"
4583,7144,"SEVEN HILLS VET HOSPITAL"
7101,7101,"80 GRAND AVE SUITE 400"
6020,9705,"VCA ANIMAL HOSPITAL OF SANTA CRUZ"
5303,5303,"8610 HARRIS ROAD"
4545,16263,"COTE ANIMAL HOSPITAL"
4545,14400,"COTE ANIMAL HOSPITAL"
-1,-1,"8 DIGITAL"
8388,8388,"911 VETS"
384,384,"920 NORTHGATE DRIVE"
9283,5168,"SAN JOSE ANIMAL HOSPITAL"
5118,5118,"9728 CARMEL MOUNTAIN RD SUITE E"
13759,13759,"975 W ARROW HWY"
3914,3914,"97 SAN MARIN DRIVE"
7020,7020,"9993 NORTH 95TH WAY"
3980,3980,"99 MONTICELLO ROAD"
6935,6935,"AAA AMIMAL HOSPITAL"
6935,7106,"AAA AMIMAL HOSPITAL"
6935,7731,"AAA AMIMAL HOSPITAL"
6935,10253,"AAA AMIMAL HOSPITAL"
9254,8488,"A ACACIA ANIMAL HOSPITAL"
9254,12369,"A ACACIA ANIMAL HOSPITAL"
9254,9254,"A ACACIA ANIMAL HOSPITAL"
14249,14249,"A ANIMAL CLINIC OF QUEENS: THOMAS ROBERT W"
16757,16757,"AARDMORE VETERINARY HOSPITAL"
5314,5314,"ABBEY PET HOSPITAL"
5768,12505,"ABBEY PET HOSPITAL"
5768,14855,"ABBEY PET HOSPITAL"
5768,15206,"ABBEY PET HOSPITAL"
3844,3844,"ABBEY PET HOSPITAL"
5768,10615,"ABBEY PET HOSPITAL"
5768,10066,"ABBEY PET HOSPITAL"
5768,5768,"ABBEY PET HOSPITAL"
5351,5351,"ABBEY PET HOSPITAL"
5351,9287,"ABBEY PET HOSPITAL"
4332,4332,"ABBY PET HOSPITAL"
4332,15259,"ABBY PET HOSPITAL"
4332,14956,"ABBY PET HOSPITAL"
4332,11715,"ABBY PET HOSPITAL"
4180,4180,"ABC ANIMAL CLINIC"
7135,7135,"ABC ANIMAL CLINIC"
8930,8930,"ABC ANIMAL HOSPITAL"
3461,3461,"ABC ANIMAL HOSPITAL"
2692,2692,"ABC PET CLINIC"
2692,12008,"ABC PET CLINIC"
2692,6394,"ABC PET CLINIC"
8023,9574,"ABC VETHOSPITAL PACIFIC BEACH"
8023,8035,"ABC VETHOSPITAL PACIFIC BEACH"
7967,8045,"ABC VET (UPTOWN) SAN DIEGO"
15068,16052,"ABC VETERINARY HOSPITAL"
15068,15068,"ABC VETERINARY HOSPITAL"
4791,8048,"ABC VETERINARY HOSPITAL KEARNY MESA"
4791,4791,"ABC VETERINARY HOSPITAL KEARNY MESA"
4791,8326,"ABC VETERINARY HOSPITAL KEARNY MESA"
7967,17010,"ABC VET (UPTOWN) SAN DIEGO"
6329,6329,"ABC VET HOSPITAL"
7967,11993,"ABC VET (UPTOWN) SAN DIEGO"
7967,11750,"ABC VET (UPTOWN) SAN DIEGO"
7967,11638,"ABC VET (UPTOWN) SAN DIEGO"
7975,7975,"ABC VET HOSPITAL-KEARNY MESA"
4791,7931,"ABC VETERINARY HOSPITAL KEARNY MESA"
4791,8038,"ABC VETERINARY HOSPITAL KEARNY MESA"
8023,12632,"ABC VETHOSPITAL PACIFIC BEACH"
8023,8023,"ABC VETHOSPITAL PACIFIC BEACH"
8023,8784,"ABC VETHOSPITAL PACIFIC BEACH"
8023,8798,"ABC VETHOSPITAL PACIFIC BEACH"
8023,9321,"ABC VETHOSPITAL PACIFIC BEACH"
4791,11027,"ABC VETERINARY HOSPITAL KEARNY MESA"
7967,15953,"ABC VET (UPTOWN) SAN DIEGO"
7967,13332,"ABC VET (UPTOWN) SAN DIEGO"
7967,8100,"ABC VET (UPTOWN) SAN DIEGO"
7967,8848,"ABC VET (UPTOWN) SAN DIEGO"
7967,13009,"ABC VET (UPTOWN) SAN DIEGO"
7967,16340,"ABC VET (UPTOWN) SAN DIEGO"
7967,7967,"ABC VET (UPTOWN) SAN DIEGO"
4495,4495,"ABEL PET CLINIC"
2704,14044,"ABORN PET HOSPITAL & GRIMMER"
2704,2704,"ABORN PET HOSPITAL & GRIMMER"
14551,14551,"ABOVE & BEYOND PET CARE CLINIC"
14332,14332,"ACACIA ANIMAL HOSPITAL"
12557,12598,"ACACIA PET CLINIC"
12557,12557,"ACACIA PET CLINIC"
5222,11472,"ACADIA VETERINARY CLINIC **EMAIL ONLY"
5222,5222,"ACADIA VETERINARY CLINIC **EMAIL ONLY"
15340,15340,"A CARING VET"
15340,16647,"A CARING VET"
15752,15752,"A CAT HOSPITAL"
14873,14873,"A CAT'S VIEW VETERINARY HOSPITAL"
7686,15790,"ACSESS SPECIALTY ANIMAL HOSPITAL"
14465,15708,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
12621,15525,"ACCESS SPECIALTY ANIMAL HOSPITAL"
14465,8823,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
14465,14538,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
7686,13477,"ACSESS SPECIALTY ANIMAL HOSPITAL"
7686,11963,"ACSESS SPECIALTY ANIMAL HOSPITAL"
7686,17103,"ACSESS SPECIALTY ANIMAL HOSPITAL"
7686,13320,"ACSESS SPECIALTY ANIMAL HOSPITAL"
14465,14814,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
16018,16018,"ACCESS SPECIALTY ANIMAL HOSPITAL"
12621,12621,"ACCESS SPECIALTY ANIMAL HOSPITAL"
14465,15254,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
7686,14403,"ACSESS SPECIALTY ANIMAL HOSPITAL"
14465,14465,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
14465,15358,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
12621,14401,"ACCESS SPECIALTY ANIMAL HOSPITAL"
12621,12637,"ACCESS SPECIALTY ANIMAL HOSPITAL"
12621,13387,"ACCESS SPECIALTY ANIMAL HOSPITAL"
5486,6298,"ACE ANIMAL HOSPITAL"
5486,11098,"ACE ANIMAL HOSPITAL"
5486,9448,"ACE ANIMAL HOSPITAL"
5486,16781,"ACE ANIMAL HOSPITAL"
5486,15943,"ACE ANIMAL HOSPITAL"
5486,12064,"ACE ANIMAL HOSPITAL"
5486,5486,"ACE ANIMAL HOSPITAL"
9801,9801,"ACE HOSPITAL"
4900,14411,"ACORN VET CLINIC"
4900,5864,"ACORN VET CLINIC"
4900,8855,"ACORN VET CLINIC"
4900,13264,"ACORN VET CLINIC"
3184,3184,"ACORN VET CLINIC"
4900,13093,"ACORN VET CLINIC"
4900,7437,"ACORN VET CLINIC"
4900,5226,"ACORN VET CLINIC"
4900,4900,"ACORN VET CLINIC"
4900,15550,"ACORN VET CLINIC"
4900,16545,"ACORN VET CLINIC"
4900,8154,"ACORN VET CLINIC"
7686,7686,"ACSESS SPECIALTY ANIMAL HOSPITAL"
14681,14681,"ACTON VET"
2461,2461,"ACTON VETERINARY CLINIC"
1130,1130,"ACTON VETERINARY CLINIC"
7385,10238,"CENTER SANAI ANIMAL HOSPITAL"
6063,6063,"ADAM PET CLINIC"
14051,14051,"ADAM'S ANIMAL HOSPITAL"
1600,10061,"ADOBE ANIMAL HOSPITAL"
1600,10497,"ADOBE ANIMAL HOSPITAL"
1600,10551,"ADOBE ANIMAL HOSPITAL"
1600,12517,"ADOBE ANIMAL HOSPITAL"
1600,10717,"ADOBE ANIMAL HOSPITAL"
1600,10679,"ADOBE ANIMAL HOSPITAL"
1600,10709,"ADOBE ANIMAL HOSPITAL"
4110,10643,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
5460,15853,"ADOBE ANIMAL HOSPITAL"
1600,11052,"ADOBE ANIMAL HOSPITAL"
4464,4464,"ADOBE ANIMAL HOSPITAL"
4464,6404,"ADOBE ANIMAL HOSPITAL"
4464,9373,"ADOBE ANIMAL HOSPITAL"
1600,11964,"ADOBE ANIMAL HOSPITAL"
1600,13364,"ADOBE ANIMAL HOSPITAL"
1600,1600,"ADOBE ANIMAL HOSPITAL"
1600,2365,"ADOBE ANIMAL HOSPITAL"
5460,14762,"ADOBE ANIMAL HOSPITAL"
1600,15010,"ADOBE ANIMAL HOSPITAL"
5460,5460,"ADOBE ANIMAL HOSPITAL"
1600,8112,"ADOBE ANIMAL HOSPITAL"
1600,15883,"ADOBE ANIMAL HOSPITAL"
4107,4107,"ADOBE ANIMAL HOSPITAL"
4196,4196,"ADOBE ANIMAL HOSPITAL"
1600,8128,"ADOBE ANIMAL HOSPITAL"
1600,7041,"ADOBE ANIMAL HOSPITAL"
1600,2617,"ADOBE ANIMAL HOSPITAL"
1600,2938,"ADOBE ANIMAL HOSPITAL"
1600,2966,"ADOBE ANIMAL HOSPITAL"
5460,8728,"ADOBE ANIMAL HOSPITAL"
1600,10919,"ADOBE ANIMAL HOSPITAL"
1600,10666,"ADOBE ANIMAL HOSPITAL"
1600,3544,"ADOBE ANIMAL HOSPITAL"
1600,3650,"ADOBE ANIMAL HOSPITAL"
1600,3678,"ADOBE ANIMAL HOSPITAL"
14338,14338,"ADOBE ANIMAL HOSPITAL"
1600,10924,"ADOBE ANIMAL HOSPITAL"
11271,16372,"ADOBE ANIMAL HOSPITAL RANCHO CUCAMONGA"
1600,3685,"ADOBE ANIMAL HOSPITAL"
1600,3843,"ADOBE ANIMAL HOSPITAL"
1600,5563,"ADOBE ANIMAL HOSPITAL"
9632,9632,"ADOBE ANIMAL HOSPITAL"
1600,10505,"ADOBE ANIMAL HOSPITAL"
1600,8921,"ADOBE ANIMAL HOSPITAL"
1600,5983,"ADOBE ANIMAL HOSPITAL"
1600,8560,"ADOBE ANIMAL HOSPITAL"
1600,8443,"ADOBE ANIMAL HOSPITAL"
4196,6316,"ADOBE ANIMAL HOSPITAL"
5460,9877,"ADOBE ANIMAL HOSPITAL"
1600,7704,"ADOBE ANIMAL HOSPITAL"
1600,15541,"ADOBE ANIMAL HOSPITAL"
1600,15441,"ADOBE ANIMAL HOSPITAL"
1600,15436,"ADOBE ANIMAL HOSPITAL"
1600,16517,"ADOBE ANIMAL HOSPITAL"
1600,14984,"ADOBE ANIMAL HOSPITAL"
1600,14951,"ADOBE ANIMAL HOSPITAL"
1600,14099,"ADOBE ANIMAL HOSPITAL"
1600,13779,"ADOBE ANIMAL HOSPITAL"
1600,13432,"ADOBE ANIMAL HOSPITAL"
1600,13263,"ADOBE ANIMAL HOSPITAL"
1600,16636,"ADOBE ANIMAL HOSPITAL"
1600,16738,"ADOBE ANIMAL HOSPITAL"
1600,12673,"ADOBE ANIMAL HOSPITAL"
1600,12658,"ADOBE ANIMAL HOSPITAL"
1600,12436,"ADOBE ANIMAL HOSPITAL"
1600,12372,"ADOBE ANIMAL HOSPITAL"
1600,11371,"ADOBE ANIMAL HOSPITAL"
1600,11432,"ADOBE ANIMAL HOSPITAL"
1600,2598,"ADOBE ANIMAL HOSPITAL"
1600,11410,"ADOBE ANIMAL HOSPITAL"
1600,8674,"ADOBE ANIMAL HOSPITAL"
1600,8402,"ADOBE ANIMAL HOSPITAL"
1600,6752,"ADOBE ANIMAL HOSPITAL"
4110,13314,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,12687,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
12277,12277,"ADOBE ANIMAL HOSPITAL OF SOQUEL"
1600,15402,"ADOBE ANIMAL HOSPITAL"
5460,12269,"ADOBE ANIMAL HOSPITAL"
5460,6786,"ADOBE ANIMAL HOSPITAL"
5460,12205,"ADOBE ANIMAL HOSPITAL"
11271,11271,"ADOBE ANIMAL HOSPITAL RANCHO CUCAMONGA"
4110,15921,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,4110,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,10753,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,10958,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,11241,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,11583,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,11875,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,12248,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,13254,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,14845,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
4110,16842,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
1600,3157,"ADOBE ANIMAL HOSPITAL"
4110,10747,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
5460,3204,"ADOBE ANIMAL HOSPITAL"
4117,4117,"ADOBE FAMILY PET CLINIC OF PET"
5460,1249,"ADOBE ANIMAL HOSPITAL"
1600,13564,"ADOBE ANIMAL HOSPITAL"
1669,6264,"ADOBE PET HOSPITAL"
1669,1669,"ADOBE PET HOSPITAL"
1669,3810,"ADOBE PET HOSPITAL"
1669,5922,"ADOBE PET HOSPITAL"
1669,2522,"ADOBE PET HOSPITAL"
4798,4798,"ADOBE PET HOSPITAL"
9209,17017,"ADOBE PET HOSPITAL SANTA BARBARA"
1669,3740,"ADOBE PET HOSPITAL"
1772,1772,"ADOBE PET HOSPITAL"
1669,6667,"ADOBE PET HOSPITAL"
1669,6574,"ADOBE PET HOSPITAL"
9209,9209,"ADOBE PET HOSPITAL SANTA BARBARA"
9209,9208,"ADOBE PET HOSPITAL SANTA BARBARA"
4110,11389,"ADOBE ANIMAL HOSPITAL SOUTH BAY"
8701,8701,"ADOBE VET CLINIC"
1905,1905,"ADREES 1"
1282,1282,"ADVANCE ANIMAL MEDICALCENTER"
13406,13406,"ADVANCED ANIMAL CARE"
14385,14385,"ADVANCED CARE VETERINARY HOSPITAL"
14465,8871,"ACCESS SPECIALTY ANIMAL HOSPITAL (SAN FERNANDO VALLEY)"
8541,8595,"ADVANCED VETERINARY INTERNAL MEDICINE"
12104,12104,"ADVANCED PET CARE OF SAN BERNERDINO"
6210,6210,"ADVANCED VET CARE CENTER"
9918,9918,"ADVANCED VET CARE OF SAN ELIJO"
15173,15173,"ADVANCED VETERINARY CARE"
15974,15974,"ADVANCED VETERINARY CARE CENTER"
6961,6961,"ADVANCED VETERINARY DENTISTRY"
8541,8541,"ADVANCED VETERINARY INTERNAL MEDICINE"
4624,16892,"ARK PET HOSPITAL"
4624,16414,"ARK PET HOSPITAL"
8541,12047,"ADVANCED VETERINARY INTERNAL MEDICINE"
8541,9144,"ADVANCED VETERINARY INTERNAL MEDICINE"
8541,8596,"ADVANCED VETERINARY INTERNAL MEDICINE"
10944,15183,"ADVANCED VET MEDICAL CENTER"
10944,10944,"ADVANCED VET MEDICAL CENTER"
10755,12553,"ADVANCED VET SPECIALISTS"
10755,10755,"ADVANCED VET SPECIALISTS"
10944,16436,"ADVANCED VET MEDICAL CENTER"
15238,15238,"AENLIVON PET CARE"
4792,5076,"A.E.Z.R PET HOSPITAL"
4792,4792,"A.E.Z.R PET HOSPITAL"
16004,16323,"BLUE PEARL PET HOSPITAL"
16004,15310,"BLUE PEARL PET HOSPITAL"
2778,2778,"AFFORDABLE ANIMAL CLINIC"
2778,9605,"AFFORDABLE ANIMAL CLINIC"
2778,13017,"AFFORDABLE ANIMAL CLINIC"
2778,13279,"AFFORDABLE ANIMAL CLINIC"
2778,16587,"AFFORDABLE ANIMAL CLINIC"
12058,12058,"AFFORDABLE ANIMAL CLINIC"
8052,8052,"AFFORDABLE ANIMAL CLINIC COMPTON"
15162,7943,"TORRANCE COMPANION ANIMAL HOSPITAL"
10997,10997,"AFFORDABLE ANIMAL HOSPITAL"
16872,16872,"AFFORDABLE ANIMAL HOSPITAL IN WHITTIER"
16235,16235,"AFFORDABLE ANIMAL HOSPITAL ORANGE"
8725,12634,"WARREN ANIMAL HOSPITAL"
9524,9524,"AFFORDABLE PET VET CLINIC"
13003,13003,"A GENTLE REST MOBILE VET"
5927,13446,"AGGIE ANIMAL CLINIC"
5927,10722,"AGGIE ANIMAL CLINIC"
5927,10543,"AGGIE ANIMAL CLINIC"
5927,5927,"AGGIE ANIMAL CLINIC"
1630,7879,"AGGIE ANIMAL DENTAL SERVICES"
1630,9465,"AGGIE ANIMAL DENTAL SERVICES"
1630,1630,"AGGIE ANIMAL DENTAL SERVICES"
11089,11309,"AGOURA ANIMAL CLINIC"
11089,11089,"AGOURA ANIMAL CLINIC"
11819,16631,"AGUAJITO VET HOSPITAL"
11819,11819,"AGUAJITO VET HOSPITAL"
11819,12726,"AGUAJITO VET HOSPITAL"
12098,12098,"AHIMSA ANIMAL CHIROPRACTIC"
5542,9270,"ANIMAL INTERNAL MEDICINE"
16443,16443,"AIMS"
5542,14079,"ANIMAL INTERNAL MEDICINE"
5542,13491,"ANIMAL INTERNAL MEDICINE"
5392,6659,"ANIMAL INTERNAL MEDICINE AND SPECIALTY SERVICES (AIMSS)"
5542,15202,"ANIMAL INTERNAL MEDICINE"
5542,13154,"ANIMAL INTERNAL MEDICINE"
5392,15778,"ANIMAL INTERNAL MEDICINE AND SPECIALTY SERVICES (AIMSS)"
5542,14938,"ANIMAL INTERNAL MEDICINE"
5542,10369,"ANIMAL INTERNAL MEDICINE"
5542,14616,"ANIMAL INTERNAL MEDICINE"
5542,8760,"ANIMAL INTERNAL MEDICINE"
6527,14617,"AIRPORT PET CLINIC"
6527,6527,"AIRPORT PET CLINIC"
16881,16881,"AIRPORT ROAD ANIMAL CLINIC"
9668,9668,"AKAAL PET HOSPITAL"
2808,6928,"ALAMEDA PET HOSPITAL"
6031,6031,"ALAMEDA PET HOSPITAL"
2808,2808,"ALAMEDA PET HOSPITAL"
2808,3066,"ALAMEDA PET HOSPITAL"
2808,3119,"ALAMEDA PET HOSPITAL"
2808,3360,"ALAMEDA PET HOSPITAL"
2808,7071,"ALAMEDA PET HOSPITAL"
2808,8713,"ALAMEDA PET HOSPITAL"
2808,16621,"ALAMEDA PET HOSPITAL"
16516,16516,"ALAMEDA VERTERINARY CLINIC"
4057,4507,"ALAMO ANIMAL HOSPITAL"
4057,4057,"ALAMO ANIMAL HOSPITAL"
4057,11453,"ALAMO ANIMAL HOSPITAL"
2565,2565,"ALAMO ANIMAL HOSPITAL"
4057,5079,"ALAMO ANIMAL HOSPITAL"
2542,2542,"ALAMO PET CARE HOSPITAL"
8254,11301,"ALAPALM ANIMAL HOSPITAL"
8254,8254,"ALAPALM ANIMAL HOSPITAL"
4219,4219,"ALDERBROOK PET HOSPITAL"
4219,13242,"ALDERBROOK PET HOSPITAL"
4219,12494,"ALDERBROOK PET HOSPITAL"
7674,7674,"ALESSANDRO ANIMAL HOSPITAL"
15105,15105,"ALHAMBRA VETERINARY HOSPITAL"
16420,16420,"ALICIA PACIFIC VETERINARY CENTER"
10684,15762,"ALICIA PET CARE CENTER"
10684,10684,"ALICIA PET CARE CENTER"
10684,14406,"ALICIA PET CARE CENTER"
10684,16818,"ALICIA PET CARE CENTER"
7111,7111,"ALISAL PET CLINIC"
7111,14434,"ALISAL PET CLINIC"
7111,14098,"ALISAL PET CLINIC"
16122,16122,"ALISOS ANIMAL HOSPITAL"
14966,14966,"ALISO VIEJO ANIMAL HOSPITAL"
13388,13388,"ALISO VIEJO ANIMAL HOSPITAL"
9462,14128,"BANFIELD PET HOSPITAL ALISO VIEJO #0102"
13041,13041,"ALISO VIEJO PET CLINIC"
13388,13478,"ALISO VIEJO ANIMAL HOSPITAL"
15312,15312,"ALL 4 PAWS VET HOSPITAL"
16941,16941,"ALL ABOUT CATS VETERINARY HOSPITAL"
